,Category,Rank,Product,Price,URL
0,行李箱,1,SAMPO 聲寶 旅行多用途行李秤(BF-L1402AL)-[快],348,https://tw.buy.yahoo.com/gdsale/SAMPO-聲寶-旅行多用途行李秤-BF-L1402AL-快-5767057.html
1,行李箱,2,NICELINK 耐司林克數位行李秤-時尚金屬銀 YW-S013,340,https://tw.buy.yahoo.com/gdsale/NICELINK-耐司林克數位行李秤-時尚金屬銀-YW-S013-6764856.html
2,行李箱,3,日創優品 超值韓版旅行收納袋6+1件組 (贈耳機包),235,https://tw.buy.yahoo.com/gdsale/日創優品-超值韓版旅行收納袋6-1件組-贈耳機包-7477119.html
3,行李箱,4,muva 電子行李秤(兩色),399,https://tw.buy.yahoo.com/gdsale/muva-電子行李秤-兩色-6077261.html
4,行李箱,5,ALIFE 外套吊帶第四代,590,https://tw.buy.yahoo.com/gdsale/ALIFE-外套吊帶第四代-6974687.html
5,泳裝 / 比基尼,1,天使霓裳   精選熱銷泳裝/比基尼(任選2套),1290,https://tw.buy.yahoo.com/gdsale/天使霓裳-精選熱銷泳裝-比基尼-任選2套-2953617.html
6,泳裝 / 比基尼,2,Biki比基尼妮，心機襯托集中提胸款胸墊可放內衣泳衣(防水),192,https://tw.buy.yahoo.com/gdsale/Biki比基尼妮-心機襯托集中提胸款胸墊可放內衣泳衣-防水-5182735.html
7,泳裝 / 比基尼,3,Biki比基尼妮，布面提胸貼隱形胸罩泳衣專用可下水(特品不附盒子),380,https://tw.buy.yahoo.com/gdsale/Biki比基尼妮-布面提胸貼隱形胸罩泳衣專用可下水-特品不附盒子-5151663.html
8,泳裝 / 比基尼,4,Biki比基尼妮，3D立體泳裝內衣專用矽膠加厚襯墊(一對價),380,https://tw.buy.yahoo.com/gdsale/Biki比基尼妮-3D立體泳裝內衣專用矽膠加厚襯墊-一對價-4607751.html
9,泳裝 / 比基尼,5,Biki比基尼.妮 布面泳帽可搭配泳衣(純黑),100,https://tw.buy.yahoo.com/gdsale/Biki比基尼-妮-布面泳帽可搭配泳衣-純黑-4501937.html
10,家飾 / 織品 / 燈飾,1,韓國 Parklon 帕龍 無毒遊戲地墊(Hi Living-大象),999,https://tw.buy.yahoo.com/gdsale/韓國-Parklon-帕龍-無毒遊戲地墊-Hi-Living-大象-6643819.html
11,家飾 / 織品 / 燈飾,2,Homelike 自然原味松木穿衣鏡,649,https://tw.buy.yahoo.com/gdsale/Homelike-自然原味松木穿衣鏡-1417124.html
12,家飾 / 織品 / 燈飾,3,日本【COGIT】新一代透氣挺腰美臀坐墊,880,https://tw.buy.yahoo.com/gdsale/日本-COGIT-新一代透氣挺腰美臀坐墊-1469224.html
13,家飾 / 織品 / 燈飾,4,333家居鞋館 北歐風紓壓家居拖鞋,112,https://tw.buy.yahoo.com/gdsale/333家居鞋館-北歐風紓壓家居拖鞋-7444837.html
14,家飾 / 織品 / 燈飾,5,休閒拖鞋系列-舒適便利室內拖鞋-2入,378,https://tw.buy.yahoo.com/gdsale/休閒拖鞋系列-舒適便利室內拖鞋-2入-6034511.html
15,童裝 / 穿搭配件,1,優雅千鳥格雙口袋洋裝*卡其,400,https://tw.buy.yahoo.com/gdsale/優雅千鳥格雙口袋洋裝-卡其-6210609.html
16,童裝 / 穿搭配件,2,公主袖格紋蛋糕裙襬洋裝*黑,899,https://tw.buy.yahoo.com/gdsale/公主袖格紋蛋糕裙襬洋裝-黑-6182061.html
17,童裝 / 穿搭配件,3,baby童衣 連身衣短袖動物立體尾巴41142,250,https://tw.buy.yahoo.com/gdsale/baby童衣-連身衣短袖動物立體尾巴41142-5004753.html
18,童裝 / 穿搭配件,4,甜美千鳥紋雙口袋磨毛外套*粉,749,https://tw.buy.yahoo.com/gdsale/甜美千鳥紋雙口袋磨毛外套-粉-6152080.html
19,童裝 / 穿搭配件,5,JJLKIDS 時尚星星內刷毛保暖內搭褲(2色),199,https://tw.buy.yahoo.com/gdsale/JJLKIDS-時尚星星內刷毛保暖內搭褲-2色-7375101.html
20,電視,1,藍光博士22吋抗藍光液晶螢幕護目鏡 JN-22PLB,890,https://tw.buy.yahoo.com/gdsale/藍光博士22吋抗藍光液晶螢幕護目鏡-JN-22PLB-5595506.html
21,電視,2,藍光博士24吋抗藍光液晶螢幕護目鏡 JN-24PLB,980,https://tw.buy.yahoo.com/gdsale/藍光博士24吋抗藍光液晶螢幕護目鏡-JN-24PLB-5595502.html
22,電視,3,NEWQ 32吋 HIHD 護眼低藍光 LED液晶顯示器+視訊盒 32NQ-DC1,4490,https://tw.buy.yahoo.com/gdsale/NEWQ-32吋-HIHD-護眼低藍光-LED液晶顯示器-視訊盒-32NQ-DC1-6755591.html
23,電視,4,AMCOOL 15-38吋固定式壁掛架 AM-1538,195,https://tw.buy.yahoo.com/gdsale/AMCOOL-15-38吋固定式壁掛架-AM-1538-6197644.html
24,電視,5,協合T.V.D 42-70吋固定式壁掛架 MS-740,598,https://tw.buy.yahoo.com/gdsale/協合T-V-D-42-70吋固定式壁掛架-MS-740-5313142.html
25,行動電源 / 電池,1,ASUS ZenPower 10050mAh 高容量行動電源,499,https://tw.buy.yahoo.com/gdsale/ASUS-ZenPower-10050mAh-高容量行動電源-6684876.html
26,行動電源 / 電池,2,SONY 環保碳鋅ULTRA電池三號AA (16顆入),119,https://tw.buy.yahoo.com/gdsale/SONY-環保碳鋅ULTRA電池三號AA-16顆入-1602745.html
27,行動電源 / 電池,3,SAMSUNG GALAXY Note 3 / N9000 專用手機適用電池(密封包裝),424,https://tw.buy.yahoo.com/gdsale/SAMSUNG-GALAXY-Note-3-N9000-專用手機適用電池-密封包裝-4901782.html
28,行動電源 / 電池,4,aibo HV130K 18000 Plus 行動電源,799,https://tw.buy.yahoo.com/gdsale/aibo-HV130K-18000-Plus-行動電源-6807407.html
29,行動電源 / 電池,5,aibo DV78K 12000 Plus 行動電源,473,https://tw.buy.yahoo.com/gdsale/aibo-DV78K-12000-Plus-行動電源-6528422.html
30,調整型 / 塑身衣,1,Mollifix 瑪莉菲絲 牛仔肚X計畫挺胸縮腹塑身衣-黑色,980,https://tw.buy.yahoo.com/gdsale/Mollifix-瑪莉菲絲-牛仔肚X計畫挺胸縮腹塑身衣-黑色-4817888.html
31,調整型 / 塑身衣,2,Mollifix Double X牛仔肚 強效收納塑身衣 (M-XXL),1080,https://tw.buy.yahoo.com/gdsale/Mollifix-Double-X牛仔肚-強效收納塑身衣-M-XXL-4962585.html
32,調整型 / 塑身衣,3,骨盆帶 3S美體560丹提臀束骨盆帶ThreeShape XS-Q (晶鑽黑),690,https://tw.buy.yahoo.com/gdsale/骨盆帶-3S美體560丹提臀束骨盆帶ThreeShape-XS-Q-晶鑽黑-3897509.html
33,調整型 / 塑身衣,4,Mollifix瑪莉菲絲 X牛仔肚 新纖體感塑身衣 (黑),980,https://tw.buy.yahoo.com/gdsale/Mollifix瑪莉菲絲-X牛仔肚-新纖體感塑身衣-黑-5403391.html
34,調整型 / 塑身衣,5,黛安芬-曲線美体衣系列 經典骨盤健康褲 M-EEL(粉),290,https://tw.buy.yahoo.com/gdsale/黛安芬-曲線美体衣系列-經典骨盤健康褲-M-EEL-粉-7226981.html
35,衛生紙 / 衛生棉,1,倍潔雅超質感抽取式衛生紙150抽X84包/箱,1079,https://tw.buy.yahoo.com/gdsale/倍潔雅超質感抽取式衛生紙150抽X84包-箱-6117616.html
36,衛生紙 / 衛生棉,2,(買一箱送一箱)Livi優活抽取式衛生紙(100抽x60包/箱),1039,https://tw.buy.yahoo.com/gdsale/買一箱送一箱-Livi優活抽取式衛生紙-100抽x60包-箱-3676727.html
37,衛生紙 / 衛生棉,3,唯潔雅優質抽取式衛生紙150抽x72包/箱,889,https://tw.buy.yahoo.com/gdsale/唯潔雅優質抽取式衛生紙150抽x72包-箱-4915273.html
38,衛生紙 / 衛生棉,4,倍潔雅超質感抽取式衛生紙150抽X60包/箱,779,https://tw.buy.yahoo.com/gdsale/倍潔雅超質感抽取式衛生紙150抽X60包-箱-6105764.html
39,衛生紙 / 衛生棉,5,優活抽取式衛生紙(100抽x24包)/串,239,https://tw.buy.yahoo.com/gdsale/優活抽取式衛生紙-100抽x24包-串-4024666.html
40,醫學美容保養,1,Freeman空姐愛用晚安熬夜面膜買1送1(12款任選),699,https://tw.buy.yahoo.com/gdsale/Freeman空姐愛用晚安熬夜面膜買1送1-12款任選-5406086.html
41,醫學美容保養,2,Swissvita薇佳微晶3D全能眼霜買大送小,638,https://tw.buy.yahoo.com/gdsale/Swissvita薇佳微晶3D全能眼霜買大送小-6474654.html
42,醫學美容保養,3,寶拉珍選抗老化柔膚2%水楊酸身體乳210ml,979,https://tw.buy.yahoo.com/gdsale/寶拉珍選抗老化柔膚2-水楊酸身體乳210ml-6732554.html
43,醫學美容保養,4,(買一送一)DR.WU杏仁酸亮白煥膚精華18% 30ML,1500,https://tw.buy.yahoo.com/gdsale/買一送一-DR-WU杏仁酸亮白煥膚精華18-30ML-7404789.html
44,醫學美容保養,5,Swissvita薇佳 微晶3D全能洗顏霜100gX2(全新升級版),638,https://tw.buy.yahoo.com/gdsale/Swissvita薇佳-微晶3D全能洗顏霜100gX2-全新升級版-7277651.html
45,健身器材,1,【Wonder Core Smart】全能輕巧健身機 嫩芽綠 - 快速到貨,1557,https://tw.buy.yahoo.com/gdsale/Wonder-Core-Smart-全能輕巧健身機-嫩芽綠-快速到貨-5474006.html
46,健身器材,2,英國BODY Star Shaper_居家輕巧健身車,2280,https://tw.buy.yahoo.com/gdsale/英國BODY-Star-Shaper-居家輕巧健身車-2614436.html
47,健身器材,3,Wonder Core 2  -全能塑體健身機 (強化升級版)送30分鐘教學光碟,2181,https://tw.buy.yahoo.com/gdsale/Wonder-Core-2-全能塑體健身機-強化升級版-送30分鐘教學光碟-5259631.html
48,健身器材,4,SAN SPORTS 山司伯特 動感活力美腿機,1280,https://tw.buy.yahoo.com/gdsale/SAN-SPORTS-山司伯特-動感活力美腿機-2233555.html
49,健身器材,5,【TRIGGER POINT】The GRID Foam Roller按摩滾輪,1580,https://tw.buy.yahoo.com/gdsale/TRIGGER-POINT-The-GRID-Foam-Roller按摩滾輪-4722041.html
